status,p_value,morans_test_statistic,morans_I,gene_short_name,q_value
OK,9.116691069647977e-19,8.767711801135809,0.028509471474712948,FMO1,4.4010125683737994e-18
OK,0,40.12665473058755,0.13339644916863355,PRRC2C,0
OK,7.672974891439325e-4,3.1680606592961666,0.010234339956063857,MYOC,0.001992542260020273
OK,0.014110330842844881,2.1942051892835606,0.0071586078737115155,VAMP4,0.03087138413534027
OK,0.010594765457782089,2.3045902790375368,0.007521331894276855,EEF1AKNMT,0.02361477895735805
OK,2.2851791648191633e-20,9.173704704306601,0.030387096691369936,DNM3,1.142909411543916e-19
OK,1.3034216977674877e-11,6.667225536903704,0.018961096090143383,DNM3-IT1,5.215146185553106e-11
OK,9.653266731595916e-10,6.0035365037809125,0.01983691962712619,DNM3OS,3.6154538100728942e-9
OK,2.6095369946127793e-7,5.018078913625783,0.01655014100872242,PIGC,8.720215499940401e-7
OK,2.3653374669843576e-7,5.036926027503413,0.01662506176869219,SUCO,7.922702695506598e-7
OK,2.0656998289497343e-10,6.248980697586132,0.020632445721464717,AL645568.1,7.931000095355225e-10
OK,0,58.420781515917724,0.1942815772883467,PRDX6,0
OK,2.7346546203186763e-14,7.520198613493433,0.024782933426830318,SLC9C2,1.1870377510730386e-13
OK,5.777326411022213e-15,7.72086097550374,0.025059401351204217,AL139142.1,2.55155580779087e-14
OK,0.0011643223271436505,3.0447620520473437,0.009921935584168436,ANKRD45,0.0029650495892020916
OK,1.0934889977228666e-4,3.6963773961678372,0.012160166594306415,KLHL20,3.0877779007211883e-4
OK,3.840125490902891e-10,6.151398834508601,0.020316894478436955,CENPL,1.4614151695145346e-9
OK,1.8881720815355875e-9,5.893703545708331,0.01945727312750403,DARS2,6.9993598893852926e-9
OK,0,76.40335915367889,0.2541148091890309,GAS5,0
OK,2.7569798306882125e-6,4.5442178994769105,0.014786541304032615,SERPINC1,8.685975247929757e-6
OK,1.3682315825193352e-91,20.262851511995255,0.06729629765473831,RC3H1,1.4060030367024715e-90
OK,2.466402555555523e-47,14.40330372050927,0.04779239858803062,RABGAP1L,1.8093281051634922e-46
OK,7.669160274336512e-10,6.040767140821033,0.019921489131843058,Z99127.4,2.882160561623928e-9
OK,0,84.37716002456595,0.28066330662603306,CACYBP,0
