"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FBXO323",1.60915334205201e-27,0.735497550016898,0.64,0.479,3.90557607649444e-23,"9","FBXO32"
"PARVA1",1.80717574224128e-27,0.81999188613878,0.698,0.616,4.3861962439938e-23,"9","PARVA"
"MT-ND6",2.45698629992634e-27,0.543110035404857,0.499,0.298,5.96335144855122e-23,"9","MT-ND6"
"AFF41",2.93476281055382e-27,0.491769617711415,0.834,0.734,7.12296281749518e-23,"9","AFF4"
"CRIM12",3.22080617248501e-27,0.700832828145037,0.77,0.647,7.81721866123837e-23,"9","CRIM1"
"ARHGAP62",3.47989853952572e-27,0.825191419189842,0.606,0.435,8.44606174528289e-23,"9","ARHGAP6"
"TACC11",3.52583907291102e-27,0.690523772374958,0.709,0.58,8.55756401386233e-23,"9","TACC1"
"MEG81",4.84243201359955e-27,0.883836023627144,0.794,0.68,1.17530667402075e-22,"9","MEG8"
"MAPKBP1",5.19351441992906e-27,0.423323265077335,0.313,0.14,1.26051788486098e-22,"9","MAPKBP1"
"PGR1",7.28698617015372e-27,0.824017689470043,0.629,0.473,1.76862441335801e-22,"9","PGR"
"CCDC97",8.34972740288216e-27,0.450695612545331,0.313,0.14,2.02656233795353e-22,"9","CCDC97"
"SLFNL1-AS11",1.14180561218442e-26,0.360050037115305,0.262,0.104,2.7712764013328e-22,"9","SLFNL1-AS1"
"ATXN71",1.55539469251599e-26,0.565803665026534,0.477,0.287,3.77509845820556e-22,"9","ATXN7"
"TSPAN53",1.7574220410658e-26,0.75952061227245,0.837,0.689,4.2654390358708e-22,"9","TSPAN5"
"SPDYA",2.00371642191437e-26,0.45534099375191,0.3,0.131,4.86322012762838e-22,"9","SPDYA"
"GPRC5D-AS11",2.27492405914955e-26,0.578703142314392,0.291,0.127,5.52146818396186e-22,"9","GPRC5D-AS1"
"DYRK1A1",2.45968246259353e-26,0.743976650596602,0.694,0.568,5.96989530496076e-22,"9","DYRK1A"
"ZBTB381",3.12673893271877e-26,0.611242747472292,0.682,0.536,7.58890806360174e-22,"9","ZBTB38"
"MAN2A11",3.31652343669072e-26,0.724438185913913,0.772,0.652,8.04953403319205e-22,"9","MAN2A1"
"VPS13A1",4.51671920064072e-26,0.576354697783204,0.43,0.243,1.09625291718751e-21,"9","VPS13A"
"LPCAT21",1.383794363304e-25,0.726549240780306,0.481,0.3,3.35860729917514e-21,"9","LPCAT2"
"IMMP2L2",1.58023410797713e-25,0.779487540478852,0.483,0.306,3.83538620347129e-21,"9","IMMP2L"
"PRKCB1",1.82421726435297e-25,0.640836283296567,0.282,0.121,4.42755772231109e-21,"9","PRKCB"
"PDZRN32",3.66259242442045e-25,0.676074161080616,0.655,0.49,8.88947807331088e-21,"9","PDZRN3"
"MYH93",3.95156772372532e-25,0.621923343675576,0.682,0.564,9.59085002225372e-21,"9","MYH9"
"MITF3",4.77175028852157e-25,0.751990172742336,0.685,0.545,1.15815151252707e-20,"9","MITF"
"UST1",7.47328626716696e-25,0.702958995933961,0.676,0.544,1.81384130990409e-20,"9","UST"
"NXF11",1.01648925275841e-24,0.536714935218893,0.452,0.274,2.46712106536995e-20,"9","NXF1"
"DDR23",1.10482296663433e-24,0.757685747115806,0.702,0.579,2.68151582231818e-20,"9","DDR2"
"PDE10A1",1.15324981262382e-24,0.832466337002704,0.477,0.297,2.79905262021928e-20,"9","PDE10A"
"NIPBL1",1.15772223558996e-24,0.59500431420038,0.758,0.647,2.80990763800038e-20,"9","NIPBL"
"ADK1",1.82442021530061e-24,0.814555238716672,0.689,0.58,4.42805030455611e-20,"9","ADK"
"CRY11",1.83269765972797e-24,0.596013531166193,0.749,0.655,4.44814048992576e-20,"9","CRY1"
"TBC1D81",2.03140126485856e-24,0.627343980141274,0.488,0.319,4.93041400993822e-20,"9","TBC1D8"
"UBR31",2.11366519467429e-24,0.640502713490164,0.631,0.5,5.13007679399398e-20,"9","UBR3"
"LSMEM11",2.66791674178065e-24,0.451842162596373,0.333,0.161,6.47530072397581e-20,"9","LSMEM1"
"SLC38A11",3.04559591721324e-24,0.734979139066447,0.454,0.29,7.39196585066825e-20,"9","SLC38A1"
"MALAT11",3.15637631722908e-24,0.325987849897411,1,1,7.66084095954671e-20,"9","MALAT1"
